INFO  - 2014-09-22 18:06:14.801; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-22 18:06:14.807; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-22 18:06:14.812; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-22 18:06:14.819; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-22 18:06:14.844; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-09-22 18:06:14.849; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-09-22 18:06:14.862; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-09-22 18:06:14.866; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2014-09-22 18:06:14.869; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-09-22 18:06:14.881; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-22 18:06:14.882; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-09-22 18:06:14.884; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-09-22 18:06:14.887; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-09-22 18:06:14.888; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-09-22 18:06:14.890; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-09-22 18:06:14.891; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-09-22 18:06:14.892; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-09-22 18:06:14.904; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
