id,make,model,displ,cyl,trans,drive,fuel,salesArea,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
466,FORD,Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV03.7VE8,large car,5,18,26,21,5,No,425
467,FORD,Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXV03.7VE8,large car,6,18,26,21,5,No,425
468,FORD,Taurus,3.5,6,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV03.7VE8,large car,5,19,29,23,5,No,393
469,FORD,Taurus,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXV03.7VE8,large car,6,19,29,23,5,No,393
470,FORD,Taurus FFV,3.5,6,SemiAuto-6,4WD,Ethanol/Gas,FA,B5,Federal Tier 2 Bin 5,FFMXV03.7VEA,large car,5,13/18,19/26,15/21,5,No,428/425
471,FORD,Taurus FFV,3.5,6,SemiAuto-6,2WD,Ethanol/Gas,FA,B5,Federal Tier 2 Bin 5,FFMXV03.7VEA,large car,5,13/19,21/29,16/23,5,No,393/393
472,FORD,Transit T150,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,special purpose,1,N/A,N/A,N/A,10,No,N/A
473,FORD,Transit T150,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,special purpose,2,N/A,N/A,N/A,10,No,N/A
474,FORD,Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.56BT,van,1,N/A,N/A,N/A,10,No,N/A
475,FORD,Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.56BT,van,2,N/A,N/A,N/A,10,No,N/A
476,FORD,Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,FC,B8,Federal Tier 2 Bin 8,FFMXT03.55HV,van,2,N/A,N/A,N/A,10,No,N/A
477,FORD,Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,FC,B8,Federal Tier 2 Bin 8,FFMXT03.55HV,van,2,14,19,16,3,No,556
478,FORD,Transit T150 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.75HF,van,2,N/A,N/A,N/A,10,No,N/A
479,FORD,Transit T150 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.75HF,van,2,14-Nov,14/19,16-Dec,3,No,532/559
480,FORD,Transit T150 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,van,2,N/A,N/A,N/A,10,No,N/A
481,FORD,Transit T250,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,van,1,N/A,N/A,N/A,10,No,N/A
482,FORD,Transit T250,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,van,1,N/A,N/A,N/A,10,No,N/A
483,FORD,Transit T250,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,van,2,N/A,N/A,N/A,10,No,N/A
484,FORD,Transit T250,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,van,2,N/A,N/A,N/A,10,No,N/A
485,FORD,Transit T250,3.5,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.56BT,van,1,N/A,N/A,N/A,10,No,N/A
486,FORD,Transit T250,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.56BT,van,2,N/A,N/A,N/A,10,No,N/A
487,FORD,Transit T250,3.7,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.76BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
488,FORD,Transit T250,3.7,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.76BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
489,FORD,Transit T250,3.7,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.76BU,special purpose,2,N/A,N/A,N/A,10,No,N/A
490,FORD,Transit T250,3.7,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.76BU,special purpose,2,N/A,N/A,N/A,10,No,N/A
491,FORD,Transit T250 CA,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,special purpose,1,N/A,N/A,N/A,10,No,N/A
492,FORD,Transit T250 CA,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,special purpose,2,N/A,N/A,N/A,10,No,N/A
493,FORD,Transit T250 CC,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,special purpose,1,N/A,N/A,N/A,10,No,N/A
